"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ex1_1.nlogo"
"Simple MIS"
"04/26/2024 17:29:44:560 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","number-of-nodes","circle-layout?","mode","edge-factor","[step]","msg","bits","max [reps] of turtles"
"400","550","true","Biology inspired Enhanced","3","6","2349","2349","6"
"405","50","true","Luby's","7","6","3514","19833","6"
"406","150","true","Luby's","7","5","6536","47248","5"
"403","300","true","Simple MIS","7","175","18954","18954","175"
"407","300","true","Luby's","7","6","12764","105033","6"
"409","50","true","Biology inspired","7","1","280","280","6"
"410","150","true","Biology inspired","7","1","827","827","8"
"404","550","true","Simple MIS","7","104","30207","30207","104"
"411","300","true","Biology inspired","7","1","1636","1636","9"
"413","50","true","Biology inspired Enhanced","7","3","296","296","3"
"414","150","true","Biology inspired Enhanced","7","3","920","920","3"
"415","300","true","Biology inspired Enhanced","7","2","1644","1644","2"
"408","550","true","Luby's","7","7","31364","285516","7"
"417","50","true","Simple MIS","15","9","2398","2398","9"
"418","150","true","Simple MIS","15","101","11705","11705","101"
"416","550","true","Biology inspired Enhanced","7","6","3349","3349","6"
"412","550","true","Biology inspired","7","1","3105","3105","10"
"419","300","true","Simple MIS","15","130","25296","25296","130"
"421","50","true","Luby's","15","4","3580","20205","4"
"422","150","true","Luby's","15","6","10232","73965","6"
"423","300","true","Luby's","15","7","25964","213653","7"
"425","50","true","Biology inspired","15","1","262","262","6"
"426","150","true","Biology inspired","15","1","955","955","8"
"427","300","true","Biology inspired","15","1","2036","2036","9"
"420","550","true","Simple MIS","15","262","59944","59944","262"
"429","50","true","Biology inspired Enhanced","15","1","238","238","1"
"424","550","true","Luby's","15","7","42584","387654","7"
"430","150","true","Biology inspired Enhanced","15","3","1352","1352","3"
"431","300","true","Biology inspired Enhanced","15","4","2399","2399","4"
"433","50","true","Simple MIS","3","24","1263","1263","24"
"434","150","true","Simple MIS","3","63","4012","4012","63"
"435","300","true","Simple MIS","3","69","8577","8577","69"
"436","550","true","Simple MIS","3","53","15673","15673","53"
"437","50","true","Luby's","3","5","919","5187","5"
"438","150","true","Luby's","3","5","3280","23711","5"
"439","300","true","Luby's","3","5","7320","60235","5"
"432","550","true","Biology inspired Enhanced","15","7","4399","4399","7"
"441","50","true","Biology inspired","3","1","180","180","6"
"442","150","true","Biology inspired","3","1","586","586","8"
"440","550","true","Luby's","3","7","13863","126199","7"
"428","550","true","Biology inspired","15","1","3713","3713","10"
"445","50","true","Biology inspired Enhanced","3","2","205","205","2"
"446","150","true","Biology inspired Enhanced","3","4","691","691","4"
"447","300","true","Biology inspired Enhanced","3","7","1400","1400","7"
"443","300","true","Biology inspired","3","1","1209","1209","9"
"449","50","true","Simple MIS","7","62","2964","2964","62"
"450","150","true","Simple MIS","7","20","4856","4856","20"
"448","550","true","Biology inspired Enhanced","3","5","2547","2547","5"
"444","550","true","Biology inspired","3","1","2255","2255","10"
"453","50","true","Luby's","7","5","3118","17598","5"
"454","150","true","Luby's","7","7","7077","51158","7"
"451","300","true","Simple MIS","7","99","19181","19181","99"
"455","300","true","Luby's","7","6","16606","136648","6"
"457","50","true","Biology inspired","7","1","244","244","6"
"458","150","true","Biology inspired","7","1","813","813","8"
"452","550","true","Simple MIS","7","95","31407","31407","95"
"459","300","true","Biology inspired","7","1","1603","1603","9"
"461","50","true","Biology inspired Enhanced","7","2","247","247","2"
"462","150","true","Biology inspired Enhanced","7","5","906","906","5"
"463","300","true","Biology inspired Enhanced","7","7","1863","1863","7"
"456","550","true","Luby's","7","7","24131","219671","7"
"465","50","true","Simple MIS","15","6","5106","5106","6"
"460","550","true","Biology inspired","7","1","3012","3012","10"
"466","150","true","Simple MIS","15","65","20135","20135","65"
"467","300","true","Simple MIS","15","132","26333","26333","132"
"469","50","true","Luby's","15","4","3244","18309","4"
"464","550","true","Biology inspired Enhanced","7","11","3653","3653","11"
"470","150","true","Luby's","15","7","11217","81086","7"
"471","300","true","Luby's","15","5","19812","163029","5"
"473","50","true","Biology inspired","15","1","346","346","6"
"474","150","true","Biology inspired","15","1","809","809","8"
"475","300","true","Biology inspired","15","1","2087","2087","9"
"468","550","true","Simple MIS","15","156","57773","57773","156"
"477","50","true","Biology inspired Enhanced","15","1","258","258","1"
"478","150","true","Biology inspired Enhanced","15","4","1171","1171","4"
"472","550","true","Luby's","15","7","44589","405907","7"
"479","300","true","Biology inspired Enhanced","15","3","2074","2074","3"
"476","550","true","Biology inspired","15","1","3616","3616","10"
"480","550","true","Biology inspired Enhanced","15","8","4640","4640","8"
